EmployeeNumber	predclass_modelLogReg_kfold	predprob_modelLogReg_kfold	predclass_modelNN_kfold	predprob_modelNN_kfold	predclass_modelDL_kfold	predprob_modelDL_kfold
1	1	0.47781604625307483	1	0.6957104006399152	1	0.490711510181427
2	0	0.006761870464497288	0	0.027903897829531198	0	0.013845667243003845
4	1	0.6683271445153748	1	0.8388773266113406	1	0.9038089513778687
5	1	0.3349640301681171	1	0.2971910836595448	0	0.2682649493217468
7	0	0.12603776543741524	0	0.05884291947201972	0	0.10818154364824295
8	0	0.10533691482036489	0	0.055625641808961616	0	0.06514589488506317
10	1	0.551930742441744	1	0.4343322521033316	1	0.5518766641616821
11	0	0.09294851964153575	0	0.08501706557323864	0	0.023058297112584114
12	0	0.09489861216139647	0	0.1386702386497667	0	0.04524467885494232
13	0	0.022653523235891346	0	0.0227049753853136	0	0.037038419395685196
14	0	0.024523420556845386	0	0.02471096867184969	0	0.022319868206977844
15	0	0.14358288539479472	0	0.08734892131175313	0	0.08246605098247528
16	0	0.11533160218145373	0	0.0683414297145608	0	0.06424981355667114
18	0	0.017594261443756663	0	0.03462386626410853	0	0.014570618979632854
19	1	0.8085639892585198	1	0.9259585792880597	1	0.9480236172676086
20	0	0.007578248479374416	0	0.04270795703762038	0	0.006283259484916925
21	0	0.13706965014458455	0	0.046847753815468615	0	0.07662741839885712
22	0	0.2435013986338512	0	0.10991018020386419	0	0.2245553880929947
23	0	0.0058806811498192885	0	0.018473254190918328	0	0.01415868941694498
24	0	0.1774994349083821	0	0.09537063186399398	0	0.11723543703556061
26	0	0.005497947835481251	0	0.019282252870115524	0	0.0038495552726089954
27	0	0.20605900652157147	0	0.16738011244752168	0	0.1806495189666748
28	0	0.019397223138500338	0	0.037170625325320006	0	0.03537037596106529
30	0	0.24568352970848678	0	0.17443669396965783	0	0.13228343427181244
31	0	0.15360757004286865	0	0.07944911797867943	0	0.20386619865894318
32	0	0.010970164438565822	0	0.01729571515589468	0	0.013601476326584816
33	1	0.7860665315695575	1	0.8261133090455609	1	0.9119063019752502
35	0	0.015235187355114985	0	0.0314703904121263	0	0.02931441366672516
36	0	0.01015049825513353	0	0.05383218968728515	0	0.023859959095716476
38	0	0.09803568371956843	0	0.03699364844667183	0	0.07305976748466492
39	0	0.10899893228921162	0	0.05036491106502843	0	0.07582999020814896
40	0	0.06056635128801304	0	0.040106309666013376	0	0.08457722514867783
41	1	0.2725819519382808	0	0.24999241733288544	0	0.20737236738204956
42	0	0.025525240271133565	0	0.017015303337637483	0	0.0156713854521513
45	1	0.39983068113471343	1	0.31183940536740673	1	0.5276145339012146
46	0	0.004183366005812232	0	0.015945885886908456	0	0.009900232776999474
47	1	0.7213836976945881	1	0.8589641707690205	1	0.7807025909423828
49	0	0.07055621191001313	0	0.07334936822508281	0	0.0416184738278389
51	1	0.2748948534117678	1	0.3302698579584136	1	0.3917366564273834
52	0	0.018005273657980384	0	0.01414963662965479	0	0.04064285382628441
53	0	0.07473481855934028	0	0.04909925795286118	0	0.019584810361266136
54	0	0.03637527911117192	0	0.031095003151285546	0	0.014150265604257584
55	1	0.8836555720487557	1	0.9607750514478554	1	0.9648268818855286
56	0	0.23157688567747783	0	0.14138524893148505	0	0.15067580342292786
57	0	0.019030093585722732	0	0.0363768871715182	0	0.0353015661239624
58	0	0.03740242656082195	0	0.04966728405320314	0	0.052172113209962845
60	0	0.0497220910016085	0	0.03185181070681956	0	0.04366873949766159
61	1	0.38612782233764315	1	0.4755642148931197	1	0.394765704870224
